"5121.T","藤倉コンポジット"
"5122.T","オカモト"
"5142.T","アキレス"
"5185.T","フコク"
"5186.T","ニッタ"
"5192.T","三ツ星ベルト"
"5195.T","バンドー化学"
"5201.T","ＡＧＣ"
"5202.T","日本板硝子"
"5208.T","有沢製作所"
"5214.T","日本電気硝子"
"5232.T","住友大阪セメント"
"5233.T","太平洋セメント"
"5261.T","リソルホールディングス"
"5262.T","日本ヒューム"
"5269.T","日本コンクリート工業"
"5288.T","アジアパイルホールディングス"
"5301.T","東海カーボン"
"5302.T","日本カーボン"
"5310.T","東洋炭素"
"5331.T","ノリタケ"
"5332.T","ＴＯＴＯ"
"5333.T","日本碍子"
"5334.T","日本特殊陶業"
"5344.T","ＭＡＲＵＷＡ"
"5351.T","品川リフラ"
"5352.T","黒崎播磨"
"5357.T","ヨータイ"
"5384.T","フジミインコーポレーテッド"
"5393.T","ニチアス"
"5401.T","日本製鉄"
"5406.T","神戸製鋼所"
"5408.T","中山製鋼所"
"5410.T","合同製鐵"
"5411.T","ＪＦＥホールディングス"
"5423.T","東京製鐵"
"5440.T","共英製鋼"
"5444.T","大和工業"
"5445.T","東京鐵鋼"
"5451.T","ヨドコウ"
"5461.T","中部鋼鈑"
"5463.T","丸一鋼管"
"5471.T","大同特殊鋼"
"5480.T","日本冶金工業"
"5482.T","愛知製鋼"
"5535.T","ミガロホールディングス"
"5541.T","大平洋金属"
"5563.T","新日本電工"
"5602.T","栗本鐵工所"
"5631.T","日本製鋼所"
"5632.T","三菱製鋼"
"5659.T","日本精線"
"5702.T","大紀アルミニウム工業所"
"5703.T","日本軽金属ホールディングス"
"5706.T","三井金属"
"5707.T","東邦亜鉛"
"5711.T","三菱マテリアル"
"5713.T","住友金属鉱山"
"5714.T","ＤＯＷＡホールディングス"
"5715.T","古河機械金属"
"5726.T","大阪チタニウムテクノロジーズ"
"5727.T","東邦チタニウム"
"5741.T","ＵＡＣＪ"
"5757.T","ＣＫサンエツ"
"5801.T","古河電気工業"
"5802.T","住友電気工業"
"5803.T","フジクラ"
"5805.T","ＳＷＣＣ"
"5821.T","平河ヒューテック"
"5830.T","いよぎんホールディングス"
"5831.T","しずおかフィナンシャルグループ"
